galaxy,n_points,chi2_spum_red,chi2_nfw_red,aic_spum,aic_nfw,bic_spum,bic_nfw,delta_aic,delta_bic,spum_better_aic,spum_better_bic,nfw_params
UGC07559,7,0.0739318914052972,0.7001609369392356,10.147863782810594,8.800643747756943,9.87741452808716,8.638374194922882,1.3472200350536507,1.2390403331642776,False,False,"7.40e+11,2.00"
UGC07577,9,0.1159102162378049,0.486708597168579,10.46364086495122,8.920251583011474,11.449763751632318,9.511925315020132,1.5433892819397457,1.9378384366121857,False,False,"2.44e+10,2.00"
UGC07603,12,0.2099316483079384,2.286404280182161,11.469521538155568,26.57763852163945,13.89405478709557,28.03235847100345,-15.108116983483882,-14.138303683907882,True,True,"6.51e+10,13.51"
UGC07608,8,0.1099650915909072,0.6106842113110817,10.329895274772722,9.053421056555408,10.727102983171902,9.291745681594914,1.2764742182173148,1.4353573015769872,False,False,"1.00e+13,2.02"
UGC07690,7,1.1681913673155713,0.7649284248884622,12.336382734631142,9.05971369955385,12.065933479907708,8.897444146719788,3.2766690350772922,3.168489333187919,False,False,"1.41e+10,30.00"
UGC07866,7,0.1278993887627762,0.07631023023180361,10.255798777525552,6.305240920927215,9.985349522802117,6.1429713680931535,3.950557856598337,3.842378154708964,False,False,"1.72e+11,3.71"
UGC08286,17,0.5134689410944288,3.4210133306159642,16.161627293133144,53.8941866286235,20.327694013414224,56.39382666079215,-37.73255933549036,-36.06613264737793,True,True,"7.92e+10,17.21"
UGC08490,30,0.2280288161852367,0.17711968570825684,15.700720404630918,10.782231514122934,22.706707312941695,14.9858236591094,4.918488890507984,7.720883653832296,False,False,"4.31e+10,26.98"
UGC08550,11,0.6604767566223129,1.500803254186968,13.962860539733878,18.006426033495742,15.95233690372573,19.200111851890856,-4.043565493761864,-3.2477749481651266,True,True,"2.85e+10,15.32"
UGC08699,41,2.029951361651664,5.279803806225277,83.07824901945989,206.63254463656054,91.64610935298143,211.77326083667347,-123.55429561710065,-120.12715148369205,True,True,"7.70e+11,14.84"
UGC08837,8,0.4410128974073046,10.822705178559138,11.323038692221914,60.11352589279569,11.720246400621093,60.3518505178352,-48.79048720057378,-48.63160411721411,True,True,"6.58e+11,2.00"
