	区域 A	
t	luma	
0.000	67.4
0.050	67.0
0.100	66.4
0.150	66.5
0.201	66.4
0.251	66.9
0.301	67.2
0.351	66.3
0.401	67.0
0.451	67.1
0.501	66.6
0.552	67.4
0.602	66.0
0.652	67.0
0.702	67.0
0.752	66.4
0.802	66.8
0.852	66.9
0.903	66.7
0.953	67.4
1.003	67.2
1.053	66.4
1.103	66.3
1.153	66.3
1.203	66.6
1.253	67.2
1.304	66.7
1.354	66.6
1.404	66.5
1.454	66.2
1.504	67.4
1.554	66.9
1.604	66.7
1.655	67.2
1.705	66.8
1.755	67.4
1.805	66.6
1.855	67.1
1.905	67.3
1.955	66.3
2.006	67.0
2.056	253.5
2.106	253.6
2.156	253.8
2.206	253.8
2.256	253.7
2.306	253.8
2.357	253.7
2.407	253.7
2.457	240.7
2.507	66.9
2.557	66.8
2.607	67.2
2.657	67.0
2.708	67.6
2.758	67.1
2.808	67.5
2.858	67.0
2.908	67.1
2.958	66.4
3.008	67.2
3.059	67.1
3.109	67.1
3.159	67.3
3.209	67.2
3.259	67.0
3.309	67.5
3.359	66.8
3.410	66.8
3.460	66.7
3.510	66.3
3.560	67.0
3.610	67.1
3.660	66.7
3.710	67.3
3.760	66.9
3.811	67.0
3.861	67.1
3.911	67.2
3.961	67.2
4.011	66.5
4.061	67.2
4.111	67.3
4.162	66.3
4.212	66.7
4.262	66.3
4.312	67.4
4.362	67.1
4.412	66.8
4.462	66.9
4.513	66.7
4.563	66.8
4.613	66.5
4.663	66.4
4.713	66.7
4.763	66.9
4.813	66.9
4.864	67.4
4.914	66.9
4.964	66.5
5.014	66.2
5.064	66.1
5.114	65.9
5.164	66.5
5.215	67.0
5.265	66.8
5.315	66.6
5.365	66.7
5.415	66.7
5.465	67.2
5.515	67.2
5.566	66.9
5.616	67.1
5.666	66.9
5.716	67.1
5.766	67.3
5.816	66.6
5.866	67.0
5.916	67.4
5.967	67.7
6.017	67.2
6.067	67.4
6.117	67.0
6.167	67.0
6.217	66.7
6.267	67.4
6.318	66.9
6.368	66.6
6.418	67.3
6.468	66.5
6.518	67.7
6.568	66.9
6.618	67.5
6.669	66.8
6.719	67.4
6.769	66.4
6.819	67.0
6.869	66.5
6.919	67.4
6.969	67.2
7.020	66.4
7.070	66.8
7.120	66.7
7.170	66.7
7.220	66.4
7.270	67.3
7.320	66.8
7.371	67.4
7.421	66.9
7.471	66.5
7.521	66.6
7.571	66.3
7.621	66.7
7.671	67.2
7.722	66.6
7.772	66.8
7.822	67.1
7.872	67.0
7.922	66.5
7.972	67.3
8.022	66.7
8.073	66.6
8.123	66.2
8.173	67.1
8.223	67.1
8.273	66.6
8.323	66.3
8.373	67.4
8.423	66.8
8.474	67.0
8.524	67.3
8.574	66.8
8.624	66.6
8.674	66.7
8.724	66.9
8.774	67.1
8.825	67.1
8.875	67.0
8.925	67.1
8.975	66.8
9.025	66.9
9.075	66.9
9.125	66.7
9.176	67.1
9.226	67.1
9.276	67.0
9.326	66.9
9.376	67.0
9.426	66.8
9.476	66.7
9.527	66.5
9.577	67.1
9.627	66.9
9.677	66.6
9.727	67.2
9.777	66.8
9.827	66.6
9.878	66.9
9.928	67.4
9.978	66.9
10.028	66.0
10.078	66.9
10.128	66.9
10.178	66.9
10.229	66.6
10.279	67.1
10.329	66.3
10.379	67.4
10.429	67.3
10.479	66.9
10.529	66.8
10.579	66.8
10.630	67.4
10.680	67.1
10.730	67.6
10.780	66.5
10.830	66.9
10.880	67.2
10.930	66.9
10.981	66.6
11.031	67.1
11.081	67.0
11.131	66.9
11.181	67.4
11.231	67.2
11.281	66.7
11.332	66.5
11.382	66.7
11.432	66.8
11.482	67.1
11.532	67.4
11.582	67.4
11.632	67.2
