galaxy,chi2_red,n_points,upsilon,upsilon_err,lambda_grav,lambda_err,V_base,V_base_err,r0_base,r0_err,beta_light,beta_err
CamB,0.3715893285529254,9,0.3,0.0,0.5000000000000001,1.045452326781159,330.1507272210069,34803.53833161407,29.99999271691243,3174.557393594005,0.005,0.0
D512-2,inf,4,0.3,inf,1.5749882607594297,inf,40.24315142596569,inf,1.3860629381446596,inf,0.005,inf
D564-8,0.0677825630510778,6,0.3,0.0,2.3679429920508666,63.49382735214195,27.951118562191482,18.831655309831884,1.724750636855366,1.0390941430491272,0.005,0.0
D631-7,0.3809583076671412,16,0.3,0.0,29.999859978218353,3083.5059182239365,72.29994416155938,17.478210312042847,5.183478029941268,0.7083079016500208,0.005,0.0
DDO064,0.4251054143144635,14,0.3,0.0,2.654484874808524,22.099660265957574,55.15913105899848,27.692943388869647,1.7190399936311802,1.1212644293870984,0.005,0.0
DDO154,2.015620477425539,12,0.3,0.0,29.999985898234947,1562.62524703591,49.06112899894581,5.520773702781085,2.2942224231478745,0.39001187258776476,0.005,0.0
DDO161,0.9393695523682838,31,0.3,0.0,9.808463989756996,9.959434260256108,69.51354765291644,4.430165938853473,6.264690731025524,0.368691424866674,0.005,0.0
DDO168,5.379064368517218,10,0.3,0.0,9.108332797041257,1885.3425982116723,69.29393428391688,225.7929711032985,3.171379421746235,8.33468326788403,0.005,0.0
DDO170,0.9746195619264811,8,0.3,0.0,2.2563616563440485,1.5436821451281426,64.42429269548326,1.1711407630858088,3.951250624843126,0.293442032965332,0.005,0.0
ESO079-G014,1.3496529994497268,15,0.6,0.0,5.0157753705725545,28.610479265970245,194.48805465811608,15.510751069729375,6.921753086245965,0.8367403795091987,0.005,0.0
ESO116-G012,1.9490960196387266,15,0.6,0.0,10.802694371405382,36.25531742697433,111.1613810903091,5.282406922866999,2.513338259382489,0.26824023946899067,0.005,0.0
ESO444-G084,5.848566576173297,7,0.3,0.0,29.999963489560393,20955.78647722632,62.49483884853707,25.14055846784693,1.2276817230877781,0.8192733652938352,0.005,0.0
ESO563-G021,9.071111297484567,30,0.6,0.0,0.5899253484612702,1.8848000141023654e-14,337.6993901116686,7.623735366678381,6.87846961609526,0.3982550670266894,0.005,0.0
F561-1,0.10857443253127659,6,0.3,0.0,2.3031580037950854,9.913922898658532,52.453834025101486,12.796212953725224,2.920493717736321,1.0609442555198136,0.005,0.0
F563-1,0.5463688736640335,17,0.6,0.0,1.6788170409047278,26.963865828936008,111.753048798527,3.6402043985093253,3.677883180539482,0.37030087396550176,0.005,0.0
F563-V1,0.535851274441402,6,0.3,0.0,2.648236398914101,33.92850407982586,29.47066938071273,53.597919909925395,2.749022934206124,6.278796429039897,0.005,0.0
F563-V2,0.2251562923270128,10,0.6,0.0,1.4983503446076245,49.81439159453506,125.67424507762013,26.954402650172828,2.689717089787791,0.6231869249098495,0.005,0.0
F565-V2,0.07007743926479687,7,0.6,0.0,2.8079999451165425,22.388584687292553,95.20689787531849,23.453304327928034,5.244669978019178,0.9596911322796668,0.005,0.0
F567-2,inf,5,0.3,inf,0.5000843143077123,inf,53.7048459062422,inf,2.7312284680874406,inf,0.005,inf
F568-1,0.049002355869772855,12,0.6,0.0,0.6718977502500109,157.79809762345448,141.23303592243298,1.6711403977564583,3.8128966390048915,0.12025140390734196,0.005,0.0
F568-3,0.7801338345485129,18,0.6,0.0,1.7094316485270231,26.739524488910803,120.4978461176846,7.408244721101469,5.88712025127445,0.45526466365625445,0.005,0.0
F568-V1,0.0668161932357623,15,0.6,0.0,2.0226068918441924,15.47340315926903,120.41583013287777,4.0341055899372575,2.745121193812705,0.20700073150597192,0.005,0.0
F571-8,3.01112885132992,13,0.6,0.0,29.9998778028027,7032.163309503917,144.08749473701076,14.260890994153227,4.0725431122674545,0.7541063362573485,0.005,0.0
F571-V1,0.047872239158028775,7,0.6,0.0,8.089704220443174,19.58276731269263,87.13235680294989,8.735037350368994,4.765627304354436,0.763319610979755,0.005,0.0
F574-1,0.030138058826389022,14,0.6,0.0,7.385975040904827,3.110092743730295,100.5851599229725,0.7382099192812955,3.075061461480396,0.06073061757026752,0.005,0.0
F574-2,inf,5,0.3,inf,16.103245739634104,inf,32.9091679982482,inf,4.879934749663518,inf,0.005,inf
F579-V1,0.047361350729512114,14,0.6,0.0,29.99999992617626,103.50255737335183,109.5866986742185,1.139770265000461,1.277720999672069,0.06154422045520828,0.005,0.0
F583-1,0.11079452645883092,25,0.6,0.0,2.532537715650731,3.9424173047934326,90.86998005151187,2.422553220838758,4.487869706383762,0.1833802063083415,0.005,0.0
F583-4,0.5379772531474262,12,0.3,0.0,29.999979423426947,1725.0828147518469,65.27490118153304,3.3233583080130855,1.9287214667709984,0.27850570528346563,0.005,0.0
IC2574,3.9668852554250007,34,0.3,0.0,29.999996284428562,421.960672642432,68.10170244461641,8.299331691056153,6.58707877776024,1.1025843481619628,0.005,0.0
IC4202,3.3524241686386356,32,0.10000000000000002,0.739284243979789,4.632875624811906,18.00973427164786,255.33204952697113,14.070359113179562,4.000187590554143,0.9012138138592697,6.949910588899277e-05,66.26772084282821
KK98-251,0.3296342908679308,15,0.3,0.0,29.99987728458083,9852.781872892785,41.40657434540955,39.7990241339099,2.7446405950236015,2.717959445346228,0.005,0.0
NGC0024,0.24028967725631856,29,0.6,0.0,1.4801865677054948,3.771919572823576,108.40167360082187,1.1656853842037542,1.0413376519200583,0.032394618556941944,0.005,0.0
NGC0055,0.30878374566954353,21,0.6,0.0,29.999990851574626,211.5456910637244,86.06245940175957,7.832272315557254,5.117967241539689,0.6062562731360724,0.005,0.0
NGC0100,0.09273892054962088,21,0.6,0.0,29.999999307896708,382.19131571348413,90.15215720577129,1.8226475825660342,3.0561505045480715,0.12082546971726515,0.005,0.0
NGC0247,4.632072011782525,26,0.6,0.0,29.99999774188137,235.65445224474016,87.456530691688,2.7510119405577917,2.6712084936957816,0.1878557623174175,0.005,0.0
NGC0289,2.9412939358058354,28,0.3,0.0,3.4520731430761966,21.51667161822237,173.79158254331088,2.7096402724870132,0.5000000815028985,1.3287106898744423,0.005,0.0
NGC0300,0.6688419393552406,25,0.6,0.0,29.999999334578487,317.20047664879274,94.20066032119641,3.1980516922492064,2.689798458276812,0.19645956434883877,0.005,0.0
NGC0801,12.808819009387165,13,0.6,0.0,5.900533364367765,55.71104080713219,222.04035901643667,7.760808889690585,1.3786120016426686,0.2603640660925468,0.005,0.0
NGC0891,1.2461180591885819,18,1.999999999999999,0.7269625192587895,7.681595671708505,2.087304672059715,168.2716149737332,43.130846872182154,0.5000000000000152,0.3421849042318412,3.1059511102618297e-15,93.16046247036613
NGC1003,6.304672021471866,36,0.6,0.0,1.7158241909097438,11.241736230641916,107.6944314007087,1.4107612790587645,3.903333011077751,0.7569095415360534,0.005,0.0
NGC1090,2.91261251060158,24,0.6,0.0,5.875123166859971,16.335249794368874,165.57247241510603,5.050608073266782,2.783657633929055,0.29078977621316665,0.005,0.0
NGC1705,0.9884055727970933,14,0.3,0.0,1.2801192347935657,6.465364009347414,73.4703285490594,4.486965665614474,0.5000000000000029,0.11287366531962065,0.005,0.0
NGC2366,0.41409601382912775,26,0.3,0.0,2.7822115176376454,6.384778995597495,53.75396579521223,11.28305048411484,2.1380432749183234,0.5558070892148815,0.005,0.0
NGC2403,18.549010409537164,73,0.6,0.0,29.999999890389205,48.91833743674465,122.70352502826303,1.2171487348707632,1.3397715437716027,0.05522964650925392,0.005,0.0
NGC2683,4.276134126740724,11,1.9999999999999998,3.3885937745669263,6.519469135203268,5.2287941012282735,164.8472017270432,37.260986002211446,0.5000003361156902,7.754863549885016,0.09997373233731702,966.7244091971043
NGC2841,1.2386998593906018,50,1.9999999999999636,0.3549235087384027,6.400921797527368,0.5396409111459637,278.62680126696006,5.209288198575349,0.5000000000002083,1.319088089482895,0.09999999999999241,85.34393548262928
NGC2903,22.039087805600353,34,0.6,0.0,3.9737706052660076,18.087697304400884,199.5535671696873,5.094667951718119,0.8613219536898845,0.23195711663145183,0.005,0.0
NGC2915,0.3191106651648205,30,0.6,0.0,1.815451133664675,10.96896783849308,84.9176744597606,3.197822474298996,1.564263953309325,0.14590594720163455,0.005,0.0
NGC2955,3.0416511259326615,24,1.9999999999991351,6.913181323041218,0.5000000000000001,1.6040359485142928,261.51353602763663,10.922484650377841,1.0959589895216262,0.9062994111168219,0.09999999999999999,43.158257661526875
NGC2976,0.4975853466560773,27,0.6,0.0,29.992754542559865,8865.946420749362,117.70091682913585,22.477969074128822,2.064341754830318,0.45916156049028056,0.005,0.0
NGC2998,2.0065537235066735,13,0.6,0.0,13.293624349350557,17.833943478748097,209.59089787665812,5.748514910085395,1.3780017573224628,0.2838674384971842,0.005,0.0
NGC3109,0.2655720880408666,25,0.3,0.0,29.999999199530006,1165.6606020627692,74.86090057081942,5.847093090904827,3.885259601880398,0.3432307007842874,0.005,0.0
NGC3198,3.5513684903022478,43,0.6,0.0,6.658853916344539,7.771767256384972,152.73443111019336,2.022149359189299,2.859517833357949,0.19444540996055373,0.005,0.0
NGC3521,0.3002295848955312,41,0.6,0.0,1.8459094653355121,11.673123420838706,215.13538973619376,1.54669742418051,0.5944478420322519,0.03287404320058726,0.005,0.0
NGC3726,3.8746627294333074,12,0.6,0.0,3.226974794960751,19.059505336638615,165.14807498843496,9.170522108231562,3.8850675494643716,0.804632656005743,0.005,0.0
